,info,specification,self_intro
0, IT 모빌리티 서비스 개발 ,"건국대 / 산업공학과 / 학점 3.87/4.5 / 토익: 820, 토익스피킹: 140/레벨 6 / 사회생활 경험: 현대디지텍 6개월","
Data processing, data engineering, programming, Python, Django, JavaScript, html, SQLite, 카카오 API, 오픈소스"
0, 개발 ,건동홍 / 컴퓨터공학 / 학점 3.85 / 토스 레벨6,"
IT, 소프트웨어 개발, 정보기획, AWS, 클라우드 컴퓨팅, 리눅스, 협업, 넓은 안목, 성장, R&D 전문연구요원"
0, 서비스플랫폼 개발 ,"인하대학교 / 학점 3.56 / 토익스피킹 레벨6(140) / 컴활 2급, 정보처리기능사, 한국사 1급, 2018년 학과 학생회장, 2019년 KT SW개발 하계인턴(2개월)","

1. 자료구조, 2. 알고리즘 설계, 3. 컴퓨터 네트워크, 4. DB 설계, 5. 영상처리 설계, 6. 정보보호, 7. 시스템 프로그래밍, 8. 운영체제, 9. 프로젝트, 10. API"
0, 네트워크사업부 SW개발 ,"서성한 / 소프트웨어플랫폼학과 / 학점 3.77/4.5 / 토익: , 토익스피킹: , 오픽: IM1, 기타: / 사회생활 경험: 네트워크 엔지니어 1년 8개월 경력 / 국내학회 4, 특허출원 1, 특허등록 1, 해외학회 1, 기술교육 4 / 한국사검정시험: , 컴퓨터활용능력: , 기타:","
SDN, ACI, Docker, Kubernetes, virtualization, network design, optimization, software development, patents, 5G"
0, R&D-5G 네트워크기술 개발 ,"서성한 / 소프트웨어플랫폼학과 / 학점 3.77/4.5 / 토익: , 토익스피킹: , 오픽: IM1, 기타: / 사회생활 경험: 네트워크엔지니어 1년 8개월 경력 / 한국사검정시험: , 컴퓨터활용능력: , 기타:","
SDN, 5G, Network, Mobility Management, Split Point Selection, Handover, Algorithm, Topology, Efficient, Multimedia"
0, SW개발 ,"인하대학교 / 학점 3.98 / 토익 930, 오픽 im2 / 고용노동부 청년취업아카데미(2개월)","
IT 기술, 인공지능, 빅데이터, 프로그래밍, 자료구조, 알고리즘, 데이터 분석, 파이썬, 딥러닝, 문제 해결력"
0, AI 개발 ,"한성대 / 산업경영공학과 / 학점 3.56/4.5 / 토익스피킹: 120/Mid2, / 사회생활 경험: / 한국사검정시험: , 컴퓨터활용능력: , 기타: 빅데이터분석기사","
AI development, problem solving, AWS, k8s, AI algorithm, Multilingual, image processing, text mining, server environment, project management"
0, ICT 서비스 개발,"동국대 / 경제 / 학점 3.75 / 토익: 910, 토익스피킹: , 오픽: , 기타: / 사회생활 경험: / 한국사검정시험: , 컴퓨터활용능력: , 기타:","
Smart, Creative, IT, Problem-solving, Innovative, Communication, Teamwork, Time Management, Adaptability, Analytical Skills"
0, 개발 ,"강원대학교 / 산업공학과 / 학점 3.74 / 토익: , 토익스피킹: , 오픽: , 기타: / 사회생활 경험: 음향 전문 기업 좋은 사람 / 동아리 회장,학생회경험,금융관련 대외활동 3회 / 한국사검정시험: 고급, 컴퓨터활용능력: , 기타: 투자자산운용사","
데이터 분석, 딥러닝, R, 파이썬, SQL, 데이터 시각화, 통계 분석, 머신러닝, 분석 리포트 작성, 백엔드 분석"
0, ICT-어플리케이션 개발,"세종대 / 전자정보통신공학과(복수전공 : 컴퓨터공학과) / 학점 3.39/4.5 / 토익: 795, 토익스피킹: , 오픽: IM1, 기타: / 사회생활 경험: / 한국사검정시험: , 컴퓨터활용능력: , 기타: 정보처리기사, SQLD, 워드프로세서 1급","
프로그래밍적 사고, 자료구조, 알고리즘, C언어, 웹 프레임워크, Django, 클라우드 서버, HTML, CSS, JavaScript"
