,info,specification,self_intro
0, 기계 ,경북대 / 기계공학 / 학점 3.05/4.3 / 토익: 710 / 기타: 일반기계기사,"
싱글페이지어플리케이션, 동서발전, 신재생에너지, 발전설비, 유지보수, 일반기계기사, 발전 가능성, 해외 사업, 자기 계발, 사회공헌활동"
0, 연구개발 ,"인하대 / 기계공 / 학점 4.07 / 토익: , 토익스피킹: 170/7, 오픽: , 기타: / 사회생활 경험: / 한국사검정시험: , 컴퓨터활용능력: , 기타:","
chassis system design, steering, braking, suspension, autonomous driving technology, software verification, mass production, 4D mechanics, vibration engineering, global competence"
0, ICT인프라 ,가톨릭대 / 정보통신전자공학 / 학점 3.67,"
암호화, 복호화, 알고리즘, OTP, 구현, 효율성, 실현 가능성, 창의성, 발전, 노력"
0, 건축 ,"중경외시 / 공학 / 학점 3 / 토익: , 토익스피킹: , 오픽: , 기타: / 사회생활 경험: / 한국사검정시험: , 컴퓨터활용능력: , 기타:","
행정, 고객 서비스, 팀워크, 신속한 대응능력, 친화력, 생활력, 경리업무, 다양한 업무처리, 프로세스 이해, 전투경찰 경험"
0, 경영지원직 ,해외대 / 금융 / 학점 3.55 / 인턴 2회,"
#최근사회이슈, #성차별, #여성가족부, #페미니즘, #인권보장, #평등사회, #사회적인식, #사회문제해결능력, #대인관계능력, #논리적사고력"
0, 공무엔지니어 ,"중경외시 / 전자과 / 학점 3.36 / 토익 780, 토익스피킹 레벨 6 / 한자 3급, 봉사단 1, 동아리 2","


1. 생산기술, 엔지니어링, 효율적 생산 공정, 고품질 제품 생산, 시장 점유율, 품질 향상, 반도체 공학, 통계적 공정관리, 6SIGMA, 데이터 분석
2. 창의성, 전력케이블 연결, 납땜 작업, 비효율성 개선, 시뮬레이션, 팀워크, 품질 경쟁력, 개선점 발굴, 퍼포먼스 향상"
0, Programming ,"인서울 / 컴퓨터공학 / 학점 4.02 / 토익 800대중후반, 오픽 IL / 인턴 1회","
1. 고객 관리
2. 문제 해결 능력
3. 시스템 개선
4. 문화적 이해
5. 관찰력
6. 다양한 컨퍼런스 참여
7. 개발자 커뮤니티 활동
8. 새로운 기술 습득
9. 역량 강화
10. 공유 가능한 가치 실현"
0, 전기전자직 ,"지거국 / 전자공학과 / 학점 3.4/4.5 / 토익: 775 / 사회생활 경험: 한국전력공사 인턴 3개월 / 천주교단 보육원 봉사활동, 졸업작품(캡스톤디자인), 아이디어공모전 장려상, / 한국사검정시험: 고급, 컴퓨터활용능력: 1급","
Key skills: 
1. 배관탐사로봇 제작
2. 하드웨어 결정
3. 라즈베리파이
4. 아트메가
5. 팀프로젝트
6. 동료간 협업
7. 적극적인 태도
8. 문제해결능력
9. 전문성
10. 빠른 학습능력 "
0, H&A사업부 ,,"
production cost reduction, high-quality products, optimal design process, adaptability, practical experience, mechanical design, additive manufacturing, ultrasonic processing, price competitiveness, contribution to LG Electronics"
0, 판매관리 ,"수도권4년제 / 이공계 / 학점 3.67 / 토익: 735, 토익스피킹: 레벨6, 오픽: , 기타: / 사회생활 경험: 대기업 인턴, 계약직 각각 1회 / 공모전 최우수상, 대기업 대외활동 3회 / 한국사검정시험: 고급, 컴퓨터활용능력: 2급, 기타: 정보처리기사","
1. 상황 관찰
2. 현황 파악
3. 문제 해결 능력
4. 매출 분석 및 관리
5. 고객 맞춤형 상담
6. 빅데이터 분석
7. 경쟁사 파악
8. 힙합 패션 마케팅
9. 전략적 사고력
10. 팀워크"
0, 영업 ,"연세대학교(원주) / 학점 3.68/4.3 / 토스 레벨 6 / 한국공항공사 서포터즈 6개월 (최우수상), 정선 내일로 서포터즈 (장려상), 강원지방우정청 서포터즈 (우수상), 기업은행 청년인턴 2개월, 한국전력공사 청년인턴 2개월, gs리테일 랄라블라 3개월 인턴, 컴활 1급/토스 6/ 전산회계 1,2급, 정보처리기능사, 유통관리사 2급, 한국사 1급","

 프로젝트 기획, 데이터 분석, 커뮤니케이션, 문제 해결능력, 비즈니스 마인드, 마케팅 동향 파악, 세일즈, 프로모션 기획, 상품 전문지식, 팀워크"
0, 일반 행정 ,"국숭세단 / 인문학계열 / 학점 3.85/4.5 / 토익: 870, 토익스피킹: , 오픽: IH, 기타: / 사회생활 경험: 언론사 인턴 5개월, 공공기관 5개월 / 영삼성 서포터즈, 한화 블로그 기자단, 외교부 서포터즈 / 한국사검정시험: , 컴퓨터활용능력: , 기타:","
행정 업무, 커뮤니케이션, 인턴, 사업 운영, 다양한 일, 사진 촬영, 고객 응대, 아르바이트 경험, 현장 방문, 행사 관리"
0, 사업성분석및원가분석 ,"중경외시 / 경영학 / 학점 3.5/4.5 / 토익: , 토익스피킹: 140/레벨6, 오픽: , 기타: / 사회생활 경험: / 한국사검정시험: , 컴퓨터활용능력: , 기타:","
Cost Analysis, Cost Reduction, Business Analysis, SAP, Planning, Cost Planning, Decision Making, Budget Control, Communication, Problem Solving"
0, 일반행정6급 고졸인재 인천 권역 ,"고졸 / 기계 / 학점 x / 한국사검정시험: 고급, 기타: itq 엑셀 B등급","
1. 메모하는 습관, 공정성, 문제 해결능력, 계획 및 실행력, 피드백, 꾸준함, 팀워크, 의사소통, 도전정신, 적극성"
0, - ,,"
마케팅 업무, 고객중심 마인드, 고객니즈 파악, 신뢰관계 구축, 서비스 제공, 판매 방식 개선, 시연 및 체험 판매, 가족단위 고객, 판매 증가, DIY 제품."
0, 경영기획 ,연세대학교 / 경영학과 / 학점 3.87 / 토익 880,"
1. Strategic thinking
2. Financial management
3. Teamwork
4. Problem-solving
5. SWOT analysis
6. Industry standards
7. Platform development
8. Growth potential
9. Strong communication skills
10. Adaptability"
0, 경영지원 ,지방국립대 / 사회학 / 학점 4.23 / 토익 820 / 봉사관련 대외활동 3,"

사회경험, 예의, 연락, 인간관계 형성, 사회구성원, 교훈, 충고, 첫 사회생활, 대학초기, 사랑받기"
0, 생산 ,지방국립대 / 식품공학 / 학점 3.5 / 토익 710,"
1. 할랄산업연구원
2. 할랄시장 성장 전망
3. 무슬림 인구
4. 할랄내부심사원
5. 사격지휘병 갈등 해결
6. 경청
7. 상황 파악
8. 마음 풀기
9. 제삼자 조율
10. 병영문화제도"
0, 기계 ,"조선대 / 기계공학 / 학점 3.65 / 토익스피킹: 140/레벨6 / 사회생활 경험: 한국기계연구원 청년인턴십 8개월 / 한국사검정시험: 고급, 컴퓨터활용능력: 1급, 기타: 일반기계기사","
1. Agriculture, Farming, Rural Development, Land Management, Agricultural Infrastructure, Agricultural Productivity, Water Resource Management, Machinery Design, Budget Management, Conflict Management"
0, 연구 ,서성한 / 생명과학 / 학점 4점 초반 / 토익 900 후반,"
삼성바이오에피스, 바이오 의약, 질병 치료, 바이오시밀러, 성장, 학생회 활동, 소통, 동물생리학 실험, 자원 의사, 문제해결"
0, - ,,"
Power electronics, ESS, PCS, BMS, Converter, Inverter, Switching devices, SOC, SOH, Battery charging"
0, 디바이스 사업부 산업용 이미지센서 기술영업 및 마케팅 ,"영남대 / 일어일문학 / 학점 3.77/4.5 / 토익: , 토익스피킹: 140/레벨6, 오픽: , 기타: JLPT N1 / 사회생활 경험: / 한국사검정시험: 고급, 컴퓨터활용능력: 1급, 기타:","                           
조사, 분석, 비용 절감, 발송, 유료 발송, 오프라인, 무게, 부피별 비용, 할인율, 우체국."
0, 경영지원 (홍보) ,서성한 / 사회과학계열 / 학점 3.66 / 토익960 / 대외활동 2회 봉사활동 2회 (100시간),"
현대글로비스, 인턴십, 도전, 혁신, 시도, 수영, 헬스, 댄스, 중국어, 팀워크, 소통, 학습, 전문적, 경험, 전문적, 실무, 기획, 센스, 아이디어, 친근, 흥미, 네이버, 블로그, 홍보, 대외활동, 토익, 강사, 키워드, 트렌드, 경험, 미션, 비전, 포부, 홍보의 실전, 감각, 익히기, 영글로비스, 프로그램, 운영, 대학생, 미션, 이해하기 쉽게, 현대글로비스, 기억, 사보, 작업, 기업, SNS, 채널, 관리, 사외 홍"
0, 기술직 토목 ,"경상대 / 토목 / 학점 3.55 / 락 축구동아리, 캡스톤디자인 / 한국사검정시험: 고급, 컴퓨터활용능력: 2급, 기타: 토목기사","
Key Skills: 
1. Project Management 
2. Data Analysis 
3. Report Writing 
4. Design Thinking 
5. CAD 
6. Communication 
7. Conflict Resolution 
8. Teamwork 
9. Decision Making 
10. Budget Management"
0, 영업리더육성대상 ,"수도권 4년제 / 경영학과 / 학점 3점 초중반 / 토익 930 / 제조업 회사 인턴 1회, 교내 동아리 1회, 봉사활동 2회","
영업, 발품, 매출, 전사적, 이해도, 전문가, 역량, 해외영업, 경험, 발굴"
0, - ,한양대학교 / 전자컴퓨터통신과 / 학점 3.93 / 토스 lv6,"
R&D, SW, 차량용 LTE 기술, 자율주행, 커넥티드 카, JAVA, 경로 분석, IT 분야, 기술 동향, 자동차 부품, 통신 모듈, 서비스 개발, 자동차 사업, 고객 니즈, 학회 참가, 워크숍 참가, 지식 습득, 세계 자동차 회사, 1등 파트너, 최선"
0," 화학, 섬유 ","지거국 / 고분자공학 / 학점 3.5/4.5 / 토익 770, 토스 130","

1. 책임감
2. 팀워크
3. 고분자화학
4. 합성수지
5. 가공법
6. PP
7. 물성 향상
8. 생산 설비
9. 효력 화력
10. 다양화"
0, Food Sales ,,"
CJ제일제당, Food Sales팀, 브랜드 파워, 데이터 관리능력, 시장 분석, 영업 전략, POS 내역 분석, 메뉴판 개정, 곁들임 메뉴, 판매 전략"
0, 건축 ,"국민대 / 건축학부 설계전공 / 학점 3.83/4.5 / 토익: 820 / 사회생활 경험: 설계사무소1개월, 건설사업관리단 1개월 / 한국사검정시험: 고급, 기타: 건축기사","
1. Architecture expertise
2. Construction project management
3. Team communication
4. Logical persuasion
5. Time management
6. Design process
7. Quality control
8. Budget management
9. Prioritization
10. Planning and organization"
0, 재무 ,서/성/한 / 경제학과 / 학점 3.66 / 토익 900 / 봉사활동 1회(동아리),"
1. Communication
2. Confidence
3. Language proficiency
4. Adaptability
5. Perseverance
6. Cultural sensitivity
7. Interview skills
8. Interpersonal skills
9. Self-improvement
10. Resilience"
0, 연구개발 ,수도권 4년 / 전자공학과 / 학점 3.7 / 토익스피킹 레벨 5,"
자율주행, 친환경, 부품공급, 자동차산업, 밴드부원, 적극적, 동기부여, 연습, 피드백, 혼자"
0, DS,"지잡대 / 신재생에너지공학부 / 학점 4.39 / 토익스피킹 레벨5 / 전기기사, 정보통신산업기사, CAD 2급 봉사시간 759시간 대외활동(해외봉사 1회/국제워크캠프 1회/교내 공모전 대상, 장려상 등등 다수)","
인공지능, 전자상거래, 기술력, 영업력, 스마트 영업, 고객 맞춤형 서비스, 제품 분해 조립, 수리 기술, 시연 매대 운영, 삼성전자"
0, 설비 엔지니어 ,"지방국립 / 재료공학부 / 학점 3.8 / 토익 840, 토스 레벨5","
삼성, 능동, 직관, 디스플레이, 3D설계, MEMS공정, 3D의 개념, 나노공정, 브레인스토밍, 다양한 분야"
0, 네트워크 ,인서울4년제 / 전자공학 / 학점 3.34 / 토익 825,"
소통, 협업, 존중, 프로젝트 관리, 자율주행 자동차, 아두이노 수업, 센서 제어, 데이터 처리, 모터 제어, 네트워크 전략 수립"
0, 식품영업 ,"서울 중상위권 / 경영학 / 학점 3.5 / 대외활동 4개, 헌혈15번, 은행권 인턴","
communication, adaptability, teamwork, problem-solving, decision-making, leadership, customer service, time management, organization, critical thinking"
0," 기획.관리 , 해외영업 ","중경외시 / 경영 / 학점 3.4 / 토익 830 / 서포터즈 2회, 외부교육 1회, 금융 3종, 한자2급 재경관리사 모스마스터","""기획력, 관리력, 비젼, 예측, 분석, 영어, 프레젠테이션, 말하기, 사회성, 사과"""
0, 시트품질 ,중경외시 / 기계공학과 / 학점 3.33 / 토스 레벨6,"
기계공학, 기계 설계, 제조 공정, 자동차 엔진, CAD, CAM, 기계장치, 기계 시스템, 기계 제작, 기계 A/S"
0, 행정 ,"인천대학교 / 학점 4.07 / 토익 835 / 정부부처 기자단(2015, 2016), 은행 홍보대사(2015~2016), 학과 학술제 입상(2015, 2016), 소모임 회장(2016), 컨설팅회사 인턴(2017 상반기), 아르바이트(2017 하반기), 교내 공모대회 입상(2017), 공항 현장실습(2개월), 컴퓨터활용능력 1급, 전산회계 1급","
교육 기획, 운영, 사업 문서 작성, 강사 섭외, 일정 관리, 협상, 대화력, 피드백 수용, 예의, 원칙 준수"
0, 기계 ,"한기대 / 메카 / 학점 3.87 / 토익: 810 / 한국사검정시험: 고급, 기타: 일반기계기사","
기계시스템설계, PLC, GX-WORKS2, 일반기계 기사, 팀워크, 협업, 계획 세우기, 문제 해결, 원칙 준수, 작업 인원 제한"
0, DS부문 LSI사업부 ,서울과가대 / 전자 / 학점 3.64 / 토익 830,"
삼성취업, 회사, 꿈, 반도체 전쟁, 삼성, 반도체 분야, 연구개발, 전자공학, VLSI 시스템, 메모리, 시스템 LSI, 반도체 생산 공정, 기술, 자신, 성장, 가장 큰 영향, 히트, 모 개그 프로그램, 유행어, 인도선교, Roy 선교사님, 환경, 자신의 일, 강인한 정신력, 일에 대한 자부심"
0, 해운물류 ,"건동홍 / 국제무역 / 학점 4.25 / 토익 910 / 중소기업 인턴 1번, 대기업 해외인턴 1번, 서포터즈 1번","
글로벌 고객사 다변화, 수익성 다각화, 글로벌 화주 발굴, 비계열사 매출 증대, 물류 분석, 최적 물류 프로세스 개발, 조직 소통, 선후배 관계, 자사 협력 파트너, 메뉴얼화"
0, 식자재유통영업 ,"지거국 / 비상경계열 / 학점 3.72 / 토익 855, 오픽 IM1 / 한국사 1급, 한자 2급, 워드 1급","
CJ프레시웨이, 지속적인 성장, 고객의 관점, 소통, 고객 요구, 환경, 창의적 사고, 자기주도적, 목표 설정, 끝까지 완수, 결과, 성적, 로딩화면, DB연동, 완성도, 학습효과, 수익, 기대, 당시, 프로젝트, 발표, 담당자들, 혹평, 예상, 순위권, 탈락, CJ, 부서, 기술, 개발."
